,Unnamed: 0,Message,Narrative,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
62,,monica mcmillan diagnos breast cancer decemb strong woman maintain posit attitud lumpectomi chemo radiat bless amaz support system famili friend cowork church famili plus amaz duke team import god monica monica inspir,1,,,,
63,,taylor sadden hear famili go stand taylor swift,1,,,,
64,,year old michell diagnos metastat breast cancer lung brain kid faith help keep head everi day read stori http sgk mn xcmk v kept strong fight breast cancer,1,,,,
65,,mani breast cancer survivor want spread love nation cancer survivor day throughout june think power way handwritten note easi make donat send us letter strength handwrit deliv survivor need http bit ly lettersofstrength https hello pledgel com letter strength ncsd lettersofstrength,0,,,,
66,,let give shoutout beauti time breast cancer survivor th birthday women like continu work everi day end breast cancer forev,1,,,,
67,,first diagnos breast cancer brain start think kind thought like enter anoth dimens moment noth make sens cindi lawler breast cancer survivor went mind first diagnos,1,,,,
68,,although diagnosi come signific challeng pain loss chang qualiti life come gratitud increas strength harden determin renew purpos say celest hall live metastat breast cancer unit support fight breast cancer givingtuesday partner bank america quadrupl donat give today,1,,,,
69,,your strong dont forget gerri willi your thought begin treatment http fxn ws rf ls https www foxnew com opinion gerri willi breast cancer html,1,,,,
70,,tina diagnos breast cancer januari month husband diagnos stage iv brain cancer immedi thought son strong fight surviv hardest month life know lot stronger person life fragil forget live laugh love tina krout breast cancer survivor http sgk mn qft https www komen org share stori tina krout,1,,,,
71,,good time bad girlfriend alway peopl turn honor nationalgirlfriendsday join us thank girl us need want hear girl mean you,0,,,,
72,,year ago day mother day ali law diagnos breast cancer year old throughout chemo treatment overal journey experienc overwhelm love support famili friend let give shoutout mother rock join mother day movement use photo filter donat komen http sgk mn furqu everymom,1,,,,
73,,well august cell phone ring doctor phone say bernic sorri breast cancer invas ductil carcinoma stage tripl negat lost feel bodi couldnt move couldnt speak realli happen bernic caper breast cancer survivor http sgk mn dvxi f https ww komen org breast cancer stori bernic caper html rememb moment receiv diagnosi,1,,,,
74,,talk motivationalmonday love mom son duo danc help fundrais komen,0,,,,
75,,well august cell phone ring doctor phone say bernic sorri breast cancer invas ductil carcinoma stage tripl negat lost feel bodi couldnt move couldnt speak realli happen bernic caper breast cancer survivor http sgk mn dvxi f react diagnos drop us line below,1,,,,
76,,first diagnos breast cancer brain start think kind thought like enter anoth dimens moment noth make sens cindi lawler breast cancer survivor share us went mind first diagnos,1,,,,
77,,incred sadden news offer heartfelt condol support john entir famili tri time lose love breast cancer togeth continu fight find cure today show,1,,,,
78,,breast cancer hair hip world hand knew need posit ami keaton breast cancer survivor read ami breast cancer journey shes remain optimist http sgk mn nh,1,,,,
79,,togeth http sgk mn c e xm morethanpink,0,,,,
80,,u metastat breast cancer kill peopl year alon commit chang unaccept realiti launch susan g komen metastat breast cancer fund donat benefit metastat breast cancer communiti time end diseas join us http bit ly p,0,,,,
81,,breast cancer care care young old rich poor care color skin even male femal certain care pregnant carla time san diego susan g komen day walker read carla incred stori fight breast cancer pregnant http day co m,1,,,,
82,,month ago share stori inspir year old breast cancer survivor happi report remiss let wish lifetim health strength happi,1,,,,
83,,rest peac friend legendari coki robert famili friend heart https abcn ws kenn u,1,,,,
84,,kathi bressler stranger breast cancer lose mom grandmoth terribl diseas fight tripl negat breast cancer end begin new journey say chang forev wors show support kathi everymom use photo filter donat komen buy mother day gift today http sgk mn furqu,1,,,,
85,,rememb clear day diagnos breast cancer famili vacat thought might good news stomach backflip answer doctor cut chase sorri lump malign cheryl kravitz breast cancer survivor http sgk mn avbu https blog komen org blog get need rememb moment diagnos tell us comment below,1,,,,
86,,young age learn precious life thank lesson cancer taught easi absolut still live anxieti cancer could still return sure someth alway live live oh gosh ever life precious rememb everybodi die everybodi live want live cheer year mani come let celebr brittani year cancerversari inspir,1,,,,
87,,monday jessica rang bell mark complet breast cancer treatment let celebr moment her,1,,,,
88,,today honor women men whose live cut far short metastat breast cancer rememb today drop pictur comment make donat name donat komen week fund metastat breast cancer research,0,,,,
89,,cancer chang cancer speed bump complet road block still tri figur navig around year later cancer chang signific breast cancer survivor becki steiner http sgk mn n uvx,0,,,,
90,,million survivor move us daili weve lost everyth power end breastcanc forev morethanpink give shout survivor life http sgk mn c e xm,0,,,,
91,,everi day becom littl like mom couldnt prouder definit owe strength mom brittani beitel breast cancer survivor mom impact life show support mom everymom use mother day photo filter donat komen buy mother day gift today http sgk mn furqu,1,,,,
92,,sister chemo buddi isnt everi day hear sister diagnos breast cancer anoth sister diagnos angiosarcoma week read sister face advers humor hope inspir articl http bit ly ke http www peopl com articl utah sister diagnos cancerxid socialflow facebook peoplemag,1,,,,
93,,woman live determin whether live worldcancerday learn empow underserv women proactiv knowledg communic health profession breast health http sgk mn bmdo l https ww komen org blog world cancer day,0,,,,
94,,januari pm rang bell final chemotherapi appoint chemo taken hair didnt take sens hope cancer free futur tell us moment felt hope ww komen org moment https www komen org share stori,1,,,,
95,,your alon never learn healthi way cope stress caus fear well support group type support http sgk mn j mez,0,,,,
96,,despit famili histori breast cancer amanda diagnos stage breast cancer year ago age even long journey treatment continu job high school counselor dedic much time breast cancer caus help survivor survivor like amanda inspir partner go smile morethanpink learn join komen amanda fight breast cancer http ww komen org go smile,1,,,,
97,,desini diagnos stage breast cancer year old diagnosi put paus start life go colleg quit work travel constant appoint mani procedur desini read http sgk mn l ghvq https www komen org share stori destini bleau,1,,,,
98,,diagnos stage iv metastat breast cancer shi th birthday fear would affect futur chanc famili learn live futur live starr coleman experi metastat diagnosi year old thriver like starr count us fund research new breast cancer treatment start fundrais help http bit ly tmum b https www facebook com susangkomen fundrais creat sourc nonprofit short url sourc data breferr sourc d,1,,,,
99,,diagnos stage iv breast cancer shi th birthday fear would affect futur chanc famili learn live futur live starr coleman live metastat breast cancer read power stori http sgk mn vmwctr,1,,,,
100,,young still begin career regist nurs focus way better patient last thing mind think cancer quick chang march receiv news year old want hear elizabeth jone read elizbeth stori http sgk mn etcbey https ww komen org breast cancer stori elizabeth jone html,1,,,,
101,,year old mother year old daughter diagnos breast cancer month apart read stori hope support despit unbeliev odd cheer bethani mybritt http dailym ai kdahoi http www dailymail co uk femail articl mother daughter diagnos breast cancer time html motivationalmonday,1,,,,
102,,amanda month pregnant diagnos breast cancer couldnt accept possibl might around see daughter grow go amanda experienc today donat make x impact diseas donat becom donat end breast cancer forev,1,,,,
103,,today almost year cancer free deepli grate everi sunris becam mentor support person newli diagnos patient awar today ever incred lucki jennif slade hammond love jennif cancer diagnosi push becom charit person mani way breast cancer patient survivor get involv komen learn https ww komen org,1,,,,
104,,everi day gift fill blank let us know your celebr today motivationalmonday,0,,,,
105,,fill blank,0,,,,
106,,month ident twin sister diagnos diagnos breast cancer found staci breast cancer thought worst day life hear breast cancer well even wors shes still go treatment go treatment suppos get togeth patient traci edward breast cancer survivor stori http sgk mn qqr,1,,,,
107,,breast cancer life chang experi often alter peopl mindset belief fill blank tell us learn breast cancer journey motivationalmonday,0,,,,
108,,fill blank tell us give strength whether fight breast cancer help someon journey,0,,,,
109,,heart break lose carri corey longtim komen friend breast cancer tomorrow would carri th birthday carri beauti spirit legaci live forev rest peac http bit ly vgarmj,1,,,,
110,,komen communiti let send word encourag martha start round day chemo,1,,,,
111,,congrat giuliana rancic hit mileston year cancer free posit outlook desir help other inspir mani http today com ibgftb http www today com health giuliana rancic celebr year cancer free t,1,,,,
112,,unfortun betsey johnson know first hand import stay top breast health shes celebr year breast cancer free celebr cancerversari galentin day betsey susan g komen encourag talk best girl breast cancer women u diagnos breast cancer lifetim let reduc risk,1,,,,
113,,beauti talent young woman whose life cut far short stage iv breast cancer relentless desire famili sorri loss difficult time,1,,,,
114,,that someth celebr share post facebook friend tell us breast cancer stori http sgk mn qcfclm https www komen org submit stori,0,,,,
115,,work everi day die breast cancer let celebr survivor fought current fight diseas updat profil pictur frame million breast cancer survivor u s,0,,,,
116,,today everi day honor doctor made differ live women men affect breast cancer thank tireless effort help us put end breast cancer forev nationaldoctorsday,0,,,,
117,,seen previous post time breast cancer survivor ashle hunt news start famili alway dream hunt breast cancer interf plan overcom much heartbreak along journey child ashle husband surrog deliv perfect healthi beauti babi boy yesterday join us komen send warm congratul new famili read ashle nathan road pregnanc http bit ly htbdat,1,,,,
118,,ami keaton year old icu nurs found small lump breast diagnos advanc stage iii breast cancer went home day differ woman say rememb moment breast cancer first touch life,1,,,,
119,,educ specif aggress subtyp breast cancer http sgk mn b uylw,0,,,,
120,,realli well good day bad day cri get angri thank god reli support system rest exercis treat sweet hard impact everi aspect life famili friend live back fight say cinda paynter live metastat breast cancer fight for,1,,,,
121,,heather receiv unaccept metastat breast cancer diagnosi cancer spread breast lymph node femur hip brain spine husband kid biggest support motiv fight hard breast cancer fight open eye enjoy life famili love one take thing life serious live everi day gift advic everyon go fight never give tri remain posit possibl heather rister http sgk mn zebzaw unaccept,1,,,,
122,,terribl diseas caus million peopl blood sweat mani tear unaccept fill blank tell us think breast cancer unaccept,0,,,,
123,,turn year old juli never envis would enter breast cancer live normal life day day activ take care half year old dog hous enjoy thing stay home mom march hit knew noth would rachel boos breast cancer survivor http sgk mn ttdmnd,1,,,,
124,,mani ask question suggest healthi women averag breast cancer risk sign breast cancer delay annual mammogram schedul spring recommend intend minim exposur potenti spread covid import women men know normal contact doctor someth chang warn sign awar http sgk mn deorju https blog komen org blog delay mammogram covid mean women must know normal warn sign,0,,,,
125,,whether youv diagnos breast cancer survivor love whos face terribl diseas stori want hear drop us line below,0,,,,
126,,celebr morethanpink hero communiti live support us love us fundrais done someth beyond help end breast cancer mayb hero man woman life current fight breast cancer want honor morethanpink hero hero life custom profil pictur filter,0,,,,
127,,reason feel anyth joy teach yoga class week work communic client maryland around countri giddili contempl th row ticket see roll stone arizona later summer year physic test came back perfect left mammogram cheryl kravitz breast cancer survivor unfortun cheryl mammogram clear breast cancer http sgk mn fwben https ww komen org breast cancer stori cheryl kravitz html blindsid breast cancer diagnosi tell us stori comment below,1,,,,
128,,even though know team usa high jumper first foremost mother wife believ kid age june diagnos tripl negat invas ductal carcinoma aggress form breast cancer imagin terrifi would happen would happen famili without fear quick turn hope heard stori other cure use resourc avail chaunt low olympian breast cancer survivor http sgk mn purkwp https ww komen org breast cancer stori chaunt low html chaunt current train olymp undergo treatment breast cancer drop line encourag comment below,1,,,,
129,,michell diagnos breast cancer februari lack energi physic emot pain place id never imagin want feel whole want energi back want spirit back want old life back want breast back want ovari back want kid worri stress anymor want happi secur michell breast cancer survivor http sgk mn tlnxx april michell celebr year cancerversari well celebr right along side michell join us,1,,,,
130,,take deep breath alon receiv news ok cri get mad fair dont tri look reason sometim matter healthi cancer find misti jone breast cancer survivor read misti power stori word wisdom fight breast cancer http sgk mn ktgysm,1,,,,
131,,mani peopl affect terribl diseas work hard everi day end breast cancer forev,0,,,,
132,,lose hair breast cancer treatment hard understat beauti come want remind your stun without hair whether go treatment alreadi share photo us bebaldandbefreeday,0,,,,
133,,diagnos inflammatori breast cancer age pregnant son enjoy year remiss recurr ibc sinc stage iv stabl year qualiti life excel son twelv year old healthi work full time publish book poetri advic women seek medic attent matter young breast exhibit sign ibc lump still breast cancer anya silver live metastat breast cancer throughout journey anya receiv support guidanc inflammatori breast cancer ibc research foundat komen proud collabor organ like ibcrf,1,,,,
134,,nan,0,,,,
135,,everyon whos affect breast cancer strength inspir tag cancer survivor inspir weve lost breast cancer honor give find cure continu work honor nationalcancersurvivorsday ncsd,0,,,,
136,,sister maria recent diagnos breast cancer later week know stage stephen survivor patient support know daunt unknown let share word encourag maria famili http sgk mn tv ky,1,,,,
137,,doubl differ make donat today thank anonym match gift k dollar help breast cancer patient afford treatment fund breakthrough research provid access qualiti care much join fight save live areyouin http bit ly bsfqaj,0,,,,
138,,help us celebr vivian year breast cancer survivor turn today,1,,,,
139,,heart heavi today hear news mandi hudson author darn good lemonad pass thought famili husband,1,,,,
140,,today would susan goodman komen rd birthday made power promis sister nanci g brinker would everyth power end breast cancer forev work everi day make realiti suzi honor honor weve lost terribl diseas morethanpink,1,,,,
141,,let work togeth end breast cancer forev komen org,0,,,,
142,,june month lose mother learn breast cancer learn diseas claim live mani realli forc put life total new perspect love deepli hug longer count bless everi singl second life precious dorothi bradi breast cancer survivor dorothi stori struggl persever beyond inspir http sgk mn mekqfd https ww komen org breast cancer stori dorothi bradi html,1,,,,
143,,dr nicol robinson diagnos breast cancer first insur compani refus pay care need today nicol face surmount medic debt life today stage iv metastat breast cancer patient get scan everi month note everi chang bodi realli scari treatment ongo new realiti time caus live fear feel scare throughout breast cancer journey susan g komen breast care helplin staff help call go komen today,1,,,,
144,,heart heavi today hear news beth caldwel metastat patient advoc pass away work metastat communiti push organ like komen listen intent need communiti legaci live husband children famili friend thought http bit ly zbzhmf forbeth,1,,,,
145,,kick th annual susan g komen los angel metastat breast cancer confer tune hear open remark sharon spencer schlesing founder chair mbc committe lametsconf,0,,,,
146,,today organ namesak suzi komen would turn year old suzi die metastat breast cancer age time diagnos peopl would walk direct breast cancer thought contagi diseas someth open talk come long way sinc suzi reason organ born suzi honor honor breast cancer patient survivor continu fight find cure,1,,,,
147,,heart go julia loui dreyfus time komen https usat ly fwiiwf https www usatoday com stori news julia loui dreyfus breast cancer announc latest show evolut stigma spotlight,1,,,,
148,,diagnos month first grandchild due deb snyder breast cancer survivor http sgk mn fe szc diagnos,1,,,,
149,,armi help becom stronger journey push better didnt want weak soldier read wilmari roman receiv shock breast cancer diagnosi embark journey serv countri http sgk mn yhgfb,1,,,,
150,,recent bachelor alum lesley murphi whose mother breast cancer survivor test posit brca gene mutat lesley decid undergo doubl mastectomi order reduc risk develop breast cancer thank lesley empow women men age inform breast health wish smooth recoveri http usm ag owpskc http www usmagazin com celebr news news bachelor alum lesley murphi share post op pic doubl mastectomi w learn prevent surgeri http sgk mn pyrpp http ww komen org breastcanc preventivesurgeri html,1,,,,
151,,everi day work day lose life breast cancer give today part mission end breast cancer forev breastcanc,0,,,,
152,,give us friday feel epoch time,0,,,,
153,,joni hilton writer blogger youtub mom undergo breast cancer treatment head komen connect hear tip say say friend love tell theyv diagnos breast cancer http sgk mn kx t,1,,,,
154,,marci murphi diagnos breast cancer month pregnant daughter kayle found lump day later diagnos aggress form breast cancer tripl negat year later marci evid diseas kayle healthi happi year old miracl happen everyday statist stay hope stay posit believ marci miracul stori http sgk mn krglca,1,,,,
155,,roxana year old receiv unaccept breast cancer diagnosi singl mother worri year old son watch go chemotherapi radiat ovari remov roxana breast cancer stage metastat breast cancer go roxana go that metastat breast cancer top prioriti research public polici http bit ly p,1,,,,
156,,laurel pointer work komen year everi day work toward end breast cancer forev honor mom time breast cancer survivor komen volunt thank laurel mom everymom join mother day movement use photo filter donat komen buy mother day gift today http sgk mn furqu everymom,1,,,,
157,,promis sister made die sister would everyth power help end breast cancer forev promis make in,0,,,,
158,,live join us excit convers import elect offici support polici protect breast cancer patient panelist nicol robinson kimber crist jordan rathkopf share person experi breast cancer gap policymak address ensur access equit care look forward answer question,1,,,,
159,,rest peac nanci reagan inspir mani breast cancer survivor thank earliest support mission end breastcanc forev legaci live on,1,,,,
160,,nan,0,,,,
161,,still long road ahead time realli scare day go better other accomplish thing never thought could live mris grate peopl sent love flower card candl food prayer tami hugh breast cancer survivor grate monday morn motivationalmonday,1,,,,
162,,feel lump breast mammogram novemb negat lump felt left armpit biopsi reveal adenocarcinoma pet scan cancer origin breast heidi ganda breast cancer survivor http sgk mn k yli encourag messag heidi,1,,,,
163,,breast cancer shake live mani peopl see good bad ugli thank harri connick jr wife jill goodacr open fight breast cancer http bit ly z r vm https peopl com tv harri connick jr wife jill goodacr open secret year battl breast cancer,1,,,,
164,,help us creat world without breast cancer,0,,,,
165,,past thursday big day marisol perez gracin let show power komen support communiti celebr huge mileston her,1,,,,
166,,that like sold major leagu basebal stadium disappear everi year take moment think make decis take action donat komen week fund metastat breast cancer research start facebook fundrais today http bit ly tmum b https www facebook com susangkomen fundrais creat sourc nonprofit short url sourc data breferr sourc d,0,,,,
167,,breast cancer diagnosi scari thing children watch parent go diagnosi treatment experi varieti strong emot tune latest episod real pink hear disney channel raphael alejandro share famili stori breast cancer feel like child perspect https appl co lmacsi https podcast appl com us podcast real pink id thank genentech sponsor episod,1,,,,
168,,still long road ahead time realli scare day go better other accomplish thing never thought could live mris grate peopl sent love flower card candl food prayer tami hugh breast cancer survivor tami move posit make donat tami honor today,1,,,,
169,,today nationalbestfriendsday tag friend side up down life throw way,0,,,,
170,,turn year old juli never envis would enter breast cancer live normal life day day activ take care half year old dog hous enjoy thing stay home mom march hit knew noth would rachel boos breast cancer survivor read rachel journey http sgk mn ttdmnd,1,,,,
171,,year ago today lost belov susan goodman komen suzi age continu work hard everi day end breast cancer honor honor lost terribl diseas,1,,,,
172,,breast cancer life alter experi often chang peopl mindset belief fill blank tell us learn experi breast cancer comment motivationalmonday,0,,,,
173,,kandra found bean size lump right breast doctor said noth probabl cyst sent way fast forward kandra pregnant babi girl notic lump gotten bigger doctor said noth probabl clog milk duct babi born kandra went doctor third time still told worri final kandra found doctor took concern serious lump grown size grapefruit diagnos aggress stage breast cancer http sgk mn ylqsoe unaccept,1,,,,
174,,tag friend need remind,0,,,,
175,,beauti saturday sun gentl breez bird sing tree sat around enjoy drink talk past time memori realiti diagnosi loom heavi air day mom said wasnt readi give mom die day later arm todd christenson todd sorri loss you,1,,,,
176,,thank join excit live convers dr jose pablo leon patient advoc michael singer pleas comment stream question guest,0,,,,
177,,today nationalmammographyday annual mammogram learn everyth need know mammogram expect expect result find http sgk mn ykvqte,0,,,,
178,,commit crush breast cancer tell us your us send free commit tattoo special reward wear share world never give get free tattoo www day org commit susan g komen day,0,,,,
179,,women diagnos breast cancer lifetim inspir behind give donat fight tell us drop us line comment below,0,,,,
180,,get cancer humbl humbl incred kind care generos receiv huge remind amaz peopl realli import love give receiv posit impact peopl make everi day even littl kind ela gray breast cancer survivor ela thank beauti messag want thank everi commit caus unit creat world without breast cancer,1,,,,
181,,sal girl trip discov small lump near armpit initi stay calm call primari care physician appoint told young breast cancer mammogram diagnos tripl negat breast cancer tnbc read journey fight terribl diseas http sgk mn f oxqp someon know impact tnbc want hear tnbcday,1,,,,
182,,year old week pregnant diagnos stage breast cancer read power stori breast cancer survivor carri boo http sgk mn aagrii,1,,,,
183,,fill blank tell us strong komen org,0,,,,
184,,join us wwemom twitter parti thursday th hour long discuss highlight mom women live want honor mother day share stori hear survivor everymom stori rsvp learn http bit ly pcwimo,0,,,,
