,Message,Narrative,,,,
,"You’ve got to watch this! 13-year-old, Jordan Phillips, whose mom was diagnosed with breast cancer, knew she had to do something to help. Four years later her Cozys for the Cure are being sold in participating Walmart stores benefitting Komen. She and her mom will have you smiling ear to ear. Thank you to Greensource for making this happen. Head to your local Walmart store today and buy your Cozys For the Cure! http://sgk.mn/2wsWrXr:=:https://www.komen.org/how-to-help/support-our-partners/greensource-brand-apparel/",,,,,
,"Through all the ups and downs, Jordan Myers has been there for his wife, Tammy. It’s co-survivors, like him, who can make a world of a difference in a survivor's life. Here’s a shoutout to all the co-survivors out there who give endless amounts of two things the doctor calls for: love and support. Photography Credit: Shutter Sam Photography",,,,,
,"Anna was shocked when she was diagnosed with breast cancer. She had a lumpectomy and went through treatment, and is now celebrating remission. But the thought of recurrence is never far away. ""I cannot go back to the innocence of how 'I'm okay, I'm invincible. Nothing will happen to me.' You start thinking, ‘what's going to happen if I get metastatic breast cancer,’ and you see the people around you who might have it and it's scary.” - Anna. More: http://sgk.mn/3hwD87R:=:https://blog.komen.org/blog/anna-and-jordans-story/",,,,,
,"While the news about the COVID-19 pandemic is changing daily, we know people touched by breast cancer want to know what this means for them. We are here for you to share the facts: http://sgk.mn/2QlGlf0:=:https://blog.komen.org/blog/how-does-covid-19-impact-komen-people-touched-by-breast-cancer/",,,,,
,Dr. Yibin Kang is fighting metastatic breast cancer. And so are we. Dr. Kang's research is focused on blocking a sticky protein in blood vessels to prevent bone metastasis. Give directly to his research and others like him today and your dollars will be doubled up to $1.5 million thanks to a matching gift from Odonate: BeMoreThanPink.org #MoreThanPink #metastatic,,,,,
,"Our week is ending on a high note after learning that breast cancer survivor, Monique, rang the bell after finishing chemo and radiation! Let’s send some cheer her way! <3 http://bit.ly/2bnZoUo:=:https://moniquerose8.com/2016/08/11/done-radiation-breast-cancer-treatment/",,,,,
,"“Ashlee Hunt was in the midst of a rite of passage most twenty-somethings know well: a whirlwind of wedding and birth announcements, which all came her way as she was going through chemotherapy, a double mastectomy, and reconstruction, which affected her fertility and day-to-day health.” Breast cancer has no limits – not even age. Read on in this Glamour article about Ashlee Hunt’s powerful journey and how she encourages everyone to be their own health advocate: http://bit.ly/2xResnJ:=:https://www.glamour.com/story/my-doctors-acted-like-i-was-too-young-to-get-breast-cancer",,,,,
,"Dana Dinerman was 34 years old with a 1-year-old son when she was diagnosed with stage III breast cancer. She was later blindsided with a new diagnosis- metastatic breast cancer. Her hope through the years was to see her son go to kindergarten, and she was there on that special day this year. Her hope now is for 20 more years to watch her son grow up. Read Dana’s take on living with metastatic breast cancer: http://sgk.mn/2mH6hUQ",,,,,
,"Our conference continues -- The 4th Annual Metastatic Breast Cancer Conference - Living Longer, Living Better",,,,,
,So wonderful honoring breast cancer survivors on the field at the Dallas Cowboys game today! Thank you Cowboys for all you do to further our mission. #MoreThanPink #Cowboys Photo by @jaredgroff,,,,,
,We’re so moved by the way this mother took her friendship with a late breast cancer survivor to a whole other level <3 http://on.today.com/1sIgHTl:=:http://www.today.com/parents/ultimate-gift-mom-takes-6-children-after-her-best-friend-t98061,,,,,
,,,,,,
,"""When the cancer cell learns to outsmart the treatment drug, the treatment then fails us and we try another treatment. There is always anxiety connected with a new treatment. Will it work? What are the side effects? What happens if this treatment fails me?""- Cindy Trull, living with metastatic breast cancer. How do you handle the anxiety that comes with an MBC diagnosis? Share with the community 👇",,,,,
,"Starting to spread the Mother’s Day love by surprising these inspiring breast cancer patients, survivors and mothers with handwritten notes! Don’t forget – for every love note you send, we’ll surprise a mother who is facing or has faced breast cancer with a note of her own: komen.org/withlovexoxo:=:https://secure.info-komen.org/site/SPageNavigator/WITHLOVEXOXO/2019/MothersDay.html",,,,,
,"BREAKING: New therapeutic approach could stop breast cancer metastasis from forming and spreading. Read about this revolutionary finding by Komen-funded researcher, Dr. Jay Desgrosellier: http://bit.ly/2BEUMFl",,,,,
,"""Never in a million years, did I think I was going to be diagnosed with breast cancer. I am 36 years old, I’ve maintained a healthy lifestyle throughout my life, eating healthy and following a moderate workout routine. Somehow I thought that was enough to make me untouchable. I just realized that cancer has no barriers."" - Nancy Mejia, breast cancer survivor. http://sgk.mn/2B0XWyJ",,,,,
,"As sisters, you dream about sharing friends or clothes, but never do you dream of sharing the same disease. That’s exactly what happened to Julie Haas and her older sister. “If I hadn’t been diagnosed, my sister might not have found her cancer until it was much further progressed.” Read more about the incredible story of these sisters fighting breast cancer: http://sgk.mn/29VWZO1",,,,,
,"He walked his wife into the hospital for her double-mastectomy. That moment changed everything, as he wondered how his family would survive breast cancer. He agonized over his wife's health and his family's financial future. This is the reality for countless families across the country. Will you join the fight to save lives? Learn more: https://ww5.komen.org/:=:https://www.komen.org/",,,,,
,"A little vent session is healthy once in a while. So c’mon, let it out and tell breast cancer how you really feel in the comments below. Here, we’ll go first: Dear breast cancer, you are #unacceptable and we’re ready to shut you down.",,,,,
,"""On June 13 when I was only 12 weeks into my pregnancy, I was diagnosed with stage 2B invasive breast cancer. I was 27 years old and found out I am BRCA2."" - Heather Sullivan, survivor. Read more about her powerful story: http://sgk.mn/2kzcG26",,,,,
,"Breast cancer is the most common cancer in women around the world. A new case of breast cancer is diagnosed every 2 minutes in the U.S. This Galentine's Day, encourage the important women in your life to put themselves first and understand your breast cancer risk. Post a picture with your besties using the hashtag #LuvYourLadies and our friends at Ford Warriors in Pink will donate $10 to Susan G. Komen, up to $20,000. More info here: http://sgk.mn/36eUDWG:=:https://blog.komen.org/blog/celebrate-galentines-day/",,,,,
,"""In May of 2013, at the age of 31, my life changed forever. I was diagnosed with stage 2 invasive ductal carcinoma breast cancer. How could this be? I was too young, so I thought. It didn't run in my family and I was very healthy."" - Micha Logan, survivor. Read more: http://sgk.mn/2kBoPTY",,,,,
,We hold on to hope as we push forward toward finding better treatment options and the cures for breast cancer. Update your profile picture with this frame if you stand with us in the fight against breast cancer!,,,,,
,"Jamaican sprinter Novlene Williams-Mills is the epitome of perseverance and strength! This olympian breast cancer survivor had a tough road to the Olympics in Rio 2016, but still managed to ""wow"" so many people. Read more about her inspiring story: http://es.pn/2bJyiUu:=:http://www.espn.com/espnw/voices/article/16432407/novlene-williams-mills-had-completely-lost-confidence-my-body",,,,,
,"Abby and Hannah Saylor watched their mom through every step of her breast cancer journey - the diagnosis, the double mastectomy, hair loss, and becoming an eight-year survivor. Through it all, their mom exuded strength and became the strongest person they've ever known. Each year, the three of them walk the Susan G. Komen 3-Day to celebrate their mom's life and to fight #4EveryMom. Tell us about your mom and use our Mother's Day photo filter! http://sgk.mn/23FUrqu #4EveryMom",,,,,
,"Breast cancer changed Tyra's life in 2013, when she was just 29 years old. She had triple negative breast cancer. ""I lost two of my favorite women in my life to breast cancer. My grandmother and my kids’ grandmother were both strong women that exemplified strength, courage and hope! Through my journey of chemotherapy, surgery and radiation, I saw them in me and I was able to exemplify their strength""- Tyra http://sgk.mn/2Ynpo82:=:https://blog.komen.org/blog/fierce-fight/ #KnowYourRisk #BlackHistoryMonth",,,,,
,"""I did not carry the breast cancer gene [mutation]. I would be the first in my family...I kept thinking to myself what did I do wrong? Initially I blamed stress coupled with grief. Then I learned simply being a woman puts you at a greater risk and 1 in 8 women will be diagnosed in her lifetime.""- Dorothy Brady, breast cancer survivor. Are you aware of the risk factors for breast cancer? Learn more http://sgk.mn/2kewevz",1,,,,
,"“I didn’t know I could love more strongly than I did, but here I am holding on to every second as if it will be my last. My husband and I have always had a great relationship, but cancer has made our bond an unspeakable strength. My children have always been the center of my universe, but cancer has made my desire to be their mother (always) so deep that it’s often my only driving force when the thought of defeat seeps in.” – Elise Gramza, breast cancer survivor. Her journey will inspire you: http://sgk.mn/2kBCV5q",,,,,
,32-year-old breast cancer survivor Lauren Mandell is strong. She is #MoreThanPink. Share with us your stories of strength. #MotivationalMonday,,,,,
,"""My motto through my journey has been, 'I refuse to let my diagnosis determine my destiny.'"" - #BreastCancer Survivor, Tiffena Pierce. Such powerful words! <3",,,,,
,"""Breast cancer taught me to enjoy life every day as if it’s our last day. Also not to take anything for granted.” – Rahel Tamiru, breast cancer survivor. Celebrate Rahel and all moms by using our photo filter, donating to Komen or buying a Mother's Day gift today: http://sgk.mn/23FUrqu #4EveryMom",,,,,
,"Every dollar counts. And don't forget, you can choose where your dollars go in the fight against breast cancer!",,,,,
,"“It’s been a year and 4 more clean PET scans but I still get scared after each of them. I’m hoping to get over that fear someday.” -Paula Stahlman, breast cancer survivor http://sgk.mn/2O9uzBW That fear is all too real. Tell us how you handle it.",,,,,
,Support a breast cancer patient in need. Every dollar counts! http://bit.ly/2uj9NZz,,,,,
,Know someone impacted by breast cancer or want to get involved with the cause? It’s not too late to create a fundraiser to impact our mission and help save lives! Help us take action and be #MoreThanPink. http://bit.ly/2dSv68v,,,,,
,We’re proud to announce $32.7 million in new lifesaving research grants for 2016! These research projects range from metastatic disease to health equity – all areas that will help us achieve our Bold Goal of reducing current breast cancer deaths by 50% in the U.S. in the next decade. Learn more about the allocation of these funds and how they will help us reach our goal: http://sgk.mn/2d3diHW #MoreThanPink,,,,,
,"Adiba is a wife. She is a mother. She is a daughter. She's also living with metastatic breast cancer. ""I've had a life filled with both tough challenges and great achievements. I was born a child of war in Lebanon. At the age of seven, my family and I fled to Sweden to survive and start over. Little did I know that at 27, my fight with breast cancer would begin."" http://sgk.mn/2UiNzjA:=:https://blog.komen.org/ Yesterday was Adiba's 43rd birthday! Drop your birthday wishes in the comments 👇🏿",,,,,
,"The tragic reality of death from breast cancer has hit the Komen family again with the loss of Valynda Planeta. You may have seen Valynda’s powerful story in our videos this past October. She leaves behind 4 beautiful children and a multitude of family and friends whose lives will never be the same. We push on working, in honor of Valynda, so that one day no one dies from breast cancer. Rest in peace. <3",,,,,
,"“Today, cancer is the leading cause of death worldwide. And that’s only expected to increase in the coming decades — unless we make more progress today. I know we can."" Vice President Joe Biden’s response to tonight's State of the Union speech. Thank you President Obama for your commitment to curing cancer. We stand ready to help make a difference! #SOTU http://bit.ly/1N6riJH:=:https://medium.com/cancer-moonshot/inspiring-a-new-generation-to-defy-the-bounds-of-innovation-a-moonshot-to-cure-cancer-fbdf71d01c2e",,,,,
,"""There isn’t a day I don’t think about. There isn’t a day it doesn’t come up in conversation. There isn’t a day it doesn’t effect at least some part of my day. I’ve got a lot of anxiety I am trying to work through, but I am so thankful to have come out the other end of active treatment cancer free. I so desperately want to watch my children grow up and grow old with my husband.""- Elizabeth Gramz, breast cancer survivor 💪 More of Elizabeth's story: http://sgk.mn/3gXQ9XZ:=:https://ww5.komen.org/Breast-Cancer-Stories/Elizabeth-Gramz.html",,,,,
,"Anissa Grooms was diagnosed with stage 2A breast cancer in 2012. 3 years later, she found out her cancer had spread to her bones. ""Throughout all this, my daughter is the one who’s been most affected by my diagnosis...She accompanies me to as many appointments, surgeries, & treatments as her school schedule will allow. After every chemo, she brings home flowers, candy, & a card for me. She goes to grocery store for me every week, so I won’t have to be exposed to germs. She picks up my prescriptions, cleans the house, makes sure I’m eating, & drinking lots of water. It’s like our roles have been reversed.""- Anissa, living with metastatic breast cancer. More of her story: http://sgk.mn/2v5UaD5:=:https://ww5.komen.org/Breast-Cancer-Stories/Annissa-Grooms.html",,,,,
,"Meet Michael Kovarik. He’s been living with metastatic breast cancer for 4 years. It all started with a lump that doctors thought was a cyst – all at a time that Michael didn’t know male breast cancer was possible. Fast forward to today, he’s living treatment to treatment, and is a strong advocate for male breast cancer and metastatic disease. #MensHealthAwarenessMonth",,,,,
,"At age 30, a breast cancer diagnosis was the last thing on Lorraine's mind. Breast cancer has no boundaries. It's #unacceptable that currently 1 in 8 women in the U.S. will develop breast cancer in her lifetime. Who's your one? https://ww5.komen.org/yourone/",,,,,
,"""During it all, I was determined to be me. To be a wife and mother. To be a hard working employee. To push myself forward even on days when my body was screaming for me to stop. To eat healthier than ever and stay active. To push myself to walk to the nearby hospital on lunches for blood work and skip the free valet during my chemo visits As determined as I was to be 'me' I also learned quickly that I was never doing to be the same.""- Elise Gramza, breast cancer survivor. Can you relate to how Elise felt during her cancer journey?",,,,,
,"""Looking back, I know that my true self was there all along even if I didn’t recognize her. The changes to my physical appearance only highlighted what I had always known: I was a strong, resilient woman. And the loss of my hair or my energy or my ability to do everyday activities only highlighted my inner strength as I continued to hold on day after day.""- Erin Plum, breast cancer survivor. Read more of Erin's incredible story: http://sgk.mn/2wL7wst:=:https://blog.komen.org/blog/looking-back-i-see-my-strong-resilient-self-at-each-stage-of-breast-cancer-treatment/",,,,,
,"It's only natural to ask this question after you're diagnosed with breast cancer. Don't ever feel guilty for having that response! Who asked themselves something similar when they heard the words ""you have breast cancer?""",,,,,
,"“Just asking myself why me?” -Hope Johnson, breast cancer survivor Can anyone else relate? How did you react when you got the news you or your loved one had breast cancer?",,,,,
,"Happy Mothers Day! “It’s now three years later, and we’re celebrating another Mother’s Day and yet another ‘cancer-versary,’ and I am so thankful to be in a wonderfully different place.” – Lynda Weatherby, metastatic breast cancer patient Show your support for this beautiful mom and #4EveryMom by using our Mother’s Day photo filter, donating to Komen or buying a Mother's Day gift today: http://sgk.mn/23FUrqu",,,,,
,Cheers to everyone celebrating a birthday this month! Dedicate your birthday to saving lives. Start a birthday fundraiser to help those facing breast cancer http://bit.ly/2TMUm4b:=:https://www.facebook.com/SusanGKomen/fundraisers/?create&source=nonprofit_short_url&source_data%5Breferral_source%5D,,,,,
,Breast cancer does not discriminate. Do you know anyone who has been affected by this #unacceptable disease? Tell us about them http://sgk.mn/2YJycmy:=:https://ww5.komen.org/shareyourstory.aspx,,,,,
,"“I was diagnosed one month before my first grandchild was due.” #WithLoveXOXO Deb Snyder, breast cancer survivor http://sgk.mn/2FE2sZc When were you diagnosed?",,,,,
,"“Having breast cancer is a roller coaster of emotions. Through it all, I learned to live and be happy. I do things I want to do, and I never second guess myself.” -Elizabeth Barton, diagnosed with breast cancer at 27 years old. http://sgk.mn/2wRnwX9 Patients, survivors and caregivers – tell us something you learned while fighting or helping someone who’s fighting breast cancer.",,,,,
,"“Despite how awful the chemo made me feel, I never once felt alone or abandoned. It was during this whole ordeal that I really realized how blessed I was. I had all these people taking time out of their day to drive me to my appointments and help care for my family. Even when I was feeling well enough to take care of myself, they would still come and sit with me at chemo.” – Christina Wood Wallace, Breast Cancer Survivor. Tell us how your family or friends have been there for you throughout your journey! http://sgk.mn/2bDP6MI",,,,,
,We want to hear from you! What challenges are you facing? How can Komen best serve you? Tell us below ❤️,,,,,
,"Here's what we know: after menopause, higher amounts of estrogen in the blood are linked to an increased risk of breast cancer in women. Learn more: http://sgk.mn/2KhwlSr",,,,,
,"""I had extra time, so whatever that is, I'm grateful for it…I'll just enjoy every day — that's all you can do."" Watch Olivia Newton-John open up on the Today Show about her life and journey with breast cancer. Her positive outlook is truly inspirational! https://on.today.com/2VFXiAW:=:https://www.today.com/health/olivia-newton-john-opens-about-deathbed-rumors-winning-over-cancer-t150031",,,,,
,"Abigail Valletta was pregnant when she felt a lump in her breast that doctors dismissed as a ""pregnancy change."" A few weeks later, after she requested an ultrasound, Abigail was diagnosed with triple negative breast cancer. Her story demonstrates the importance of always listening to your gut feeling. Let's share some well wishes with Abigail! <3",,,,,
,"In our first 35 years, Komen’s work has saved lives and changed the culture. Our community made it possible for Komen to invest almost $3 billion in research, community, global and advocacy programs that have helped millions. Our journey today will be faster and deeper. Please join us. http://sgk.mn/2cUiBg0 #MoreThanPink",,,,,
,"Wow! Thank you to everyone who used our photo filter, shared your stories and made donations over the past week. We believe that celebrating moms shouldn’t be confined to 1 day, so all month long we’ll be sharing the inspiring stories you shared with us. Keep your stories about mom coming! #4EveryMom",,,,,
,"Love this fun resolution from breast cancer survivor, Brittany Beitel!",,,,,
,"""I will never forget my oncologist telling me that the statistics were not very good, but that I was not a statistic. This couldn’t be happening to me – a young, healthy mom. No one had ever mentioned the risk of recurrence,"" Teri Pollastro, living with metastatic breast cancer since 2003. Teri transformed her MBC diagnosis into something productive, becoming a passionate MBC advocate. She serves as a Komen Advocate in Science and is part of the Metastatic Breast Cancer Advocacy Committee. More: http://sgk.mn/34RJqKc:=:https://blog.komen.org/blog/things-early-stage-breast-cancer-patients-should-know-about-metastatic-breast-cancer-warning-signs/",,,,,
,"Elizabeth was just 27 years old when she noticed a lump in her left breast. A PET scan confirmed her worst fear. She had stage IV, metastatic breast cancer. It had already spread to her liver, bones, and lungs. 7 years later, Elizabeth had a full hysterectomy with ovary removal to stop her cancer from growing, triggering early menopause at only 34-years old. We must find the cures for Elizabeth, and for the hundreds of thousands of women and men around the world living with metastatic breast cancer. Donations made before midnight tonight will be doubled, and then doubled again, thanks to two generous supporters. A $25 donation becomes $100. Give a gift today for Elizabeth.",,,,,
,"Did you know triple-negative breast cancer is aggressive, common in younger women and African-American women, and women who have a BRCA1 gene mutation? Learn more about this type of breast cancer on #TNBCDay: http://sgk.mn/2F74DVH:=:https://ww5.komen.org/BreastCancer/TripleNegativeBreastCancer.html",,,,,
,Breast cancer has affected lives in so many ways. Fill in the blank - comment with your story and photo if you choose <3,,,,,
,"On #WorldCancerDay, let's not forget that breast cancer is the most common cancer in women worldwide. This is why Komen works every day to fight breast cancer in countries across the globe. Together, we can make a difference. Pledge to help us this World Cancer Day! http://bit.ly/1PnOn2C",,,,,
,"Share a personalized love note with your mom or mothers in your life (grandmothers, aunts, sisters, friends, etc.) and we’ll share one with a mother facing breast cancer. #WithLoveXOXO #BreastCancer komen.org/withlovexoxo",,,,,
,"“I think the toughest really for me was to become a proud bald woman.” -Jeri Hurte, breast cancer survivor http://sgk.mn/2SWjqpH What was the toughest part of your journey with breast cancer?",,,,,
,"You inspire so many people as a survivor and brave mother, Denise Albert! Honor your mom by using our special photo filter today: http://sgk.mn/23FUrqu #4EveryMom",,,,,
,"Stephanie Reffey, Ph.D., Komen's VP of Data Science & Impact, will moderate this exciting conversation with metastatic breast cancer expert Danny R. Welch, Ph.D. about research and the future of MBC treatment.",,,,,
,What are the top risk factors for breast cancer? Drop your answer below,,,,,
,"""The day I lost the last of my eyelashes, I cried. I cried because I felt hideous. I cried because it felt unfair. I cried because I was trying so hard to maintain my idea of myself as a strong, resilient person and it was just too exhausting to keep up with the constant change and loss anymore... I had risen to the occasion, made the best of it, tried to view it all as temporary. But now, it felt final. I had no body hair. I had no energy. I didn’t look like myself. I didn’t feel like myself. Cancer had robbed me and I was left with someone I didn’t recognize.""- Erin Plum. We must join together to find the cures for women like Erin. Will you donate today? Gifts made through 8/31 will be tripled thanks to two generous donors. Let's end breast cancer.",,,,,
,"Today we honor the life of the beloved Susan ""Suzy"" G. Komen, who we lost at 36 years young to metastatic breast cancer. Each and every day, we fight relentlessly against the deadly disease that took Suzy and continues to take the lives of more than 42,000 people each year in the US. Donate in Suzy's memory today.",,,,,
,What do you think? Drop us a line below with your best guess and find the answer here: http://sgk.mn/2X8Cq9X,,,,,
,"""I prided myself in connecting with my patients and helping them manage their cancer and everything that comes with it. I really thought I got it- I really thought I knew what it felt like to go through this journey. I didn’t.""- Lindsay Norris, oncology nurse turned cancer survivor http://bit.ly/3326BzU:=:https://mypositiveoutlooks.com/dear-every-cancer-patient-i-ever-took-care-of-im-sorry-i-didnt-get-it/ Tell us about your oncology nurse or a nurse who’s special to you.",,,,,
,To everyone out there who's been affected by #breastcancer - your strength is an inspiration! Tag a cancer survivor who inspires you. To those we've lost to breast cancer - we honor you and will not give up on finding the cures. We continue our work in your honor. #NationalCancerSurvivorsDay #NCSD2019,,,,,
,"This is Jordan. When she was 11, she found out her mom had breast cancer, so she started making cup holders and raising money to help other women with this disease. So far, she's raised $5,741 for the fight against breast cancer. Learn more about what makes Jordan #MoreThanPink: http://sgk.mn/2d77C4x:=:http://ww5.komen.org/TheList/?utm_source=Social&utm_medium=HQSocial&utm_campaign=MoreThanPink",,,,,
,"“This is me…and this is cancer. I never thought cancer looked like this, but it does. It looks like me. I’m 38 and I was recently diagnosed with breast cancer.” – Jill Jensen, Survivor. Read more about her journey fighting breast cancer while still fulfilling her mom duties and embracing her positivity: http://sgk.mn/1oNtQst",,,,,
,“I am simply Mieko. I have nothing to hide. I have stage 3 breast cancer and I have never felt more beautiful in my entire life.” –Mieko Rye. This model with breast cancer takes the concept of “real beauty” to another level <3 http://bit.ly/1n6YRXI:=:https://www.self.com/story/this-model-shared-her-cancer-journey-with-powerful-before-and-after-photos,,,,,
,"After 7 months of surgeries, chemo and radiation to fight her stage 2 breast cancer, Amy Brunton became an advocate and has spoken to congress on behalf those with breast cancer. Learn more about advocacy: http://sgk.mn/349ci0M:=:https://www.komen.org/how-to-help/advocacy/",,,,,
,"""In 2017, while caring for my mother who was dying from stage 4 breast cancer, I was diagnosed with stage 2 breast cancer. My sister was diagnosed a couple of months later and my father a year later. I was battling breast cancer at the same time as my mother, father, and sister.""- Tamara Newborn, breast cancer survivor. Even though you cannot change your genetic makeup, knowing your family health history can help you understand your risk of developing health problems. Map out your family health history here: http://bit.ly/2TvyjR9",,,,,
,"""I just wrapped up my fourth (and hopefully last) round of chemo. In a few weeks, I start daily radiation. The hardest thing about all this isn’t the fear. It isn’t the side effects from the treatment. It isn’t the disfigurement from the surgery. It’s the look in a few people’s eyes. The look of pity. I don’t get that from everyone but I do get it from some. They’re just worried about me and they don’t know how to express the worry any other way, but still, it makes me want to just shrink and disappear.""- Andrea Britton, breast cancer survivor http://sgk.mn/36txNuM:=:https://www.komen.org/share-your-story/andrea-britton/ Can you relate to the way Andrea feels?",,,,,
,"Michelle McCune felt the lump in her breast in February of 2010. She had already lost her mother to breast cancer in 1998. Michelle was diagnosed with triple-negative breast cancer and learned she had the BRCA1 genetic mutation. ""I lacked energy, physical and emotional. I had pain in places I'd never imagined before. I just wanted to feel whole again. I wanted my energy back. I wanted my spirit back. I wanted my old life back.""- Michelle. Michelle celebrated her 10-year cancerversary in April of this year- a huge milestone. Join us in congratulating Michelle, and make a donation in her honor. All gifts made through August 31 will be tripled, and make 3X the impact against this terrible disease.",,,,,
,And we mean it. Learn about Komen's 360-degree approach to combating breast cancer: http://sgk.mn/2ogP1IH:=:https://ww5.komen.org/ourimpact/,,,,,
,"""I thought it was the end of the world, I was shocked, hurt, and didn’t understand why it happened to me when cancer didn’t even run in my family. Not to mention that I just buried my Dad from lung/brain cancer, so I've experienced cancer before and it was the worst ever!""- Roxie Jefferson, #breastcancer survivor. Learn more about Roxie's fight against breast cancer: http://sgk.mn/2vLgO3Y",,,,,
,First their mom was diagnosed with breast cancer. Then BOTH twin daughters were diagnosed soon after. Grab your tissues and watch more of their incredible story: http://bit.ly/2JvNGXJ:=:https://abc6onyourside.com/news/local/mom-twin-daughters-all-fighting-breast-cancer-share-life-saving-message?fbclid=IwAR1R3y8nSFkY2_uZtSpFiE_MAkwJuyrzluV5FCC7x7E9prctw0hv2p4ag30 @KomenColumbus,,,,,
,"Don’t forget to show your mom how loved she is with a personalized love note. For every love note sent, we'll share one with a mom facing breast cancer. Send your love note now. #WithLoveXOXO komen.org/withlovexoxo",,,,,
,"Today, our organization’s namesake, Suzy Komen, would have turned 75 years old. Suzy died of metastatic breast cancer at the age of 36. At the time she was diagnosed, people would walk in the other direction because breast cancer was thought to be contagious. The disease wasn’t something that was openly talked about. We’ve come a long way since then. Suzy is the reason this organization was born. In Suzy’s honor, and in honor of all of the breast cancer patients and survivors, we will continue to fight until we find the cures.",,,,,
,"Calling all breast cancer survivors and Dallas Cowboys fans — we want to honor you! Komen has partnered with the Dallas Cowboys to honor breast cancer survivors and guests with the ultimate “Star Survivors” Cowboys fan experience. Winners will receive tickets to the Cowboys’ breast cancer awareness game on Oct. 14 vs. the Jacksonville Jaguars, as well as several amazing surprises leading up to the game! Learn more and enter for a chance to win:www.komen.org/starsurvivors",,,,,
,"In 2015, when Sarah’s baby was just 5 months old, she discovered a lump in her breast. Although she thought it could be a clogged milk duct, she still moved forward with a mammogram. A few weeks later, it was confirmed that Sarah had stage 3 breast cancer at 33 years old. Read her twin sister, Beth, describe Sarah’s journey and how they stayed strong together: http://sgk.mn/2oWO9Ga",,,,,
,"Breaking News: The Susan G. Komen Board of Directors announced they are TRIPLING all donations thru Dec. 31, up to $250,000! The Moment of Hope: create yours this holiday season. Donate 👇🏼❤️",,,,,
