Message,Narrative,Non-narrative
"""My name is Felicia Robinson and if you had told me that by the age of 50 I would have a breast cancer diagnosis, 4 rounds of chemotherapy, and a 22-year old daughter stepping up as my caregiver, I would not have believed you. Yet here I am.""- Felicia Robinson, breast cancer survivor. Susan G. Komen is only able to help women like Felicia if you donate and fundraise to fuel our mission. Create a Facebook Fundraiser today and help create a world without breast cancer: http://bit.ly/2TMUm4b",1,0
We are moved by Shannen Doherty opening up about the emotional journey she’s been on while fighting breast cancer. Her real and raw images are nothing short of powerful! http://abcn.ws/2afqkBU:=:http://abcnews.go.com/Entertainment/shannen-doherty-shares-touching-photos-cancer-battle/story?id=40738229,1,0
"Happy birthday month to all of you January babies! In leiu of birthday gifts this year, consider fundraising for Komen in honor of your special day. A $10 donation can go a long way toward finding the cures for breast cancer. Create your Facebook Fundraiser today and encourage your loved one's to support your fundraising campaign! http://bit.ly/2TMUm4b:=:https://www.facebook.com/SusanGKomen/fundraisers/?create&source=nonprofit_short_url&source_data%5Breferral_source%5D",0,1
"Breast cancer has touched all of our lives. 1 in 8 women in the U.S. will be diagnosed in her lifetime. Dolly Parton, Jordin Sparks, Rita Wilson, Sara Evans and Monica came together during #BreastCancerAwarenessMonth to imagine a day when pink is just another color. Their song, ""PINK,"" is now available everywhere, and a portion of the proceeds from this amazing song will be donated to Komen in support of our mission. Listen now and share it with friends! http://bit.ly/pinksong:=:https://blog.komen.org/blog/pink-as-another-color/",0,1
You have a chance to make an impact on the 1 in 8 women who will be diagnosed with breast cancer in her lifetime. Join us LIVE & DONATE during our Manduka #projectOM event in Bryant Park to hear from men and women affected by this disease.,0,1
"""A dimple, a mammogram, a traumatic biopsy, and a lot of lost sleep later, 'You have breast cancer, honey. You’re about to go on a life-changing journey.' Then came appointments I don’t remember. My memories of those days are blurry like a rain-washed windshield. Surgeon, oncologists. So sick. An ache I can’t explain. A pain so consuming, I had no idea where it was coming from. Somewhere in there came COVID and I locked myself tighter into the safety of my home. Part of me was comforted, while another part was screaming to be free. Homeschool, chemo, homeschool, chemo.""- Taddie Darsey. Women like Taddie need our help now more than ever. Our friends at XPO Logistics, Inc. are quadrupling every gift you make up to $10,000 until midnight tonight. Give what you can today!",1,0
"""My name is Felicia Robinson and if you had told me that by the age of 50 I would have a breast cancer diagnosis, 4 rounds of chemotherapy, and a 22-year old daughter stepping up as my caregiver, I would not have believed you.”- Felicia. Help us make sure people get the life-saving treatment and services they need during the COVID-10 pandemic. Start a fundraiser today: http://bit.ly/2TMUm4b:=:https://www.facebook.com/SusanGKomen/fundraisers/?create&source=nonprofit_short_url&source_data%5Breferral_source%5D",1,0
We want to hear your story. It’s #unacceptable that breast cancer has invaded and continues to invade so many lives. Fill in the blank via the comments below!,0,1
"""It saddens me to tell you all that my cancer has come back. It is the same cancer I had 10 years ago. I highly recommend that you have your annual mammograms. The mammogram found the small lump in the same breast.""- Dawn Oswald, living with metastatic breast cancer. Read more of Dawn's story: http://sgk.mn/3hXhCKJ:=:https://www.komen.org/share-your-story/dawn-oswald/",1,0
"Before Mandi was diagnosed with breast cancer, she thought that this disease only affected older women. Mandi was diagnosed in 2010, the day before her 31st birthday. 4 years later, she had a progression and her cancer became metastatic. We lost Mandi in 2017. ""Early detection saves some lives, but not all lives. Until there is a cure for metastatic breast cancer, there is no cure for breast cancer."" - Mandi. Mandi is right. Donations made to Komen this week will directly fund metastatic breast cancer research. Donate today and text ""MBC"" to 40649 to encourage your local lawmakers to pass pending legislation that will help the MBC community",1,0
Haven't bought a card or gift for your mom yet? By donating to Komen you can choose a free personalized ecard to send to Mom! Send her one today: http://bit.ly/1s19my2 #4EveryMom,0,1
"""Being so young, still at the beginning of my career as a registered nurse, focusing on ways to better myself for my patients, the last thing on my mind was thinking I had cancer, but that quickly changed. On March 29, 2019 I received the news that no 25-year-old wanted to hear."" - Elizabeth. We must find the cures for Elizabeth and for the hundreds of thousands of others around the world who are facing breast cancer. Donations made before midnight tonight will be doubled, and then doubled again, thanks to two generous supporters. A $25 donation becomes $100. Give a gift today for Elizabeth.",1,0
"Whether you’re living with breast cancer, have no evidence of disease now or have supported someone through their journey – we want to hear from you. Share your piece of advice for someone who’s been recently diagnosed. Drop us a few lines in the comments below!",0,1
"You've got this, Mimi! Let's send some words of strength to her as she fights on. <3",1,0
"At 30 years old, Michelle was diagnosed with metastatic breast cancer in her lungs and brain. Her kids and her faith help keep her head up every day. Read more about her story: http://sgk.mn/2xcmK9V On your hardest days, what or who helps motivate you?",1,0
"It looks like: young, old, male, female, different ethnicities, without hair, with hair, pain, no pain, chemo treatments, radiation, surgery & so much more. Tell us below what breast cancer looks like to you.",0,1
"“Cancer does not care how young or old you are.” - Kristen Rangel, diagnosed with breast cancer at age 30. Comment and tell us at what point breast cancer entered your life. <3",1,0
"On #WorldCancerDay, let's not forget that breast cancer is the most common cancer in women worldwide. This is why Komen works every day to fight breast cancer in countries across the globe. Together, we can make a difference, pledge to help us this World Cancer Day!",0,1
"""Being so young, still at the beginning of my career as a registered nurse, focusing on ways to better myself for my patients, the last thing on my mind was thinking I had cancer, but that quickly changed. On March 29th, 2019 I received the news that no 25-year-old wanted to hear, 'You have invasive breast cancer.'"" Read more of Elizabeth Jones' story: http://sgk.mn/2EtCbey:=:https://ww5.komen.org/Breast-Cancer-Stories/Elizabeth-Jones.html",1,0
"“I was diagnosed with stage IV breast cancer in May 2018, just shy of my 27th birthday. I was fearful of how this would affect my future chance of a family. I have learned that I can’t live in the future, I can only live in the now.” – Starr Coleman, living with metastatic breast cancer. More of her powerful story: http://sgk.mn/2vmwCtr Nobody should ever be diagnosed with breast cancer, especially a metastatic diagnosis at 27 years old. We wont stop until metastatic breast cancer does.",1,0
"Yesterday was Michelle’s last day of chemo – let’s celebrate this milestone with her! It’s everyday heroes, like Michelle, who are #MoreThanPink.",1,0
Tell us about them. Drop us a line in the comments below👇,0,1
"""6 chemo treatments down and 6 weeks of radiation to go!!!"" - #BreastCancer Survivor Melanie. Let's show her some love and celebrate her ringing that bell! <3",1,0
Our Bold Goal sets an enhanced emphasis on finding new treatments for aggressive and incurable forms of breast cancer by leveraging Komen's expertise in identifying and funding the best and most innovative breast cancer research and researchers. Learn more about our research imperative: http://sgk.mn/2cqrhq9 #MoreThanPink,0,1
"Colleen's mother died from breast cancer after fighting hard for 6 years. When Colleen was diagnosed when she was 41, she was instantly taken back to that familiar state of fear. It's our mission to create a world in which no woman or man has to experience that fear. We need your help to accomplish that lofty goal. Fundraise today: http://bit.ly/2TMUm4b:=:https://www.facebook.com/SusanGKomen/fundraisers/?create&source=nonprofit_short_url&source_data%5Breferral_source%5D",1,0
"Today, on #SistersDay, we celebrate the promise Nancy G. Brinker made to her sister, Suzy, more than 30 years ago to end breast cancer. It is because of a powerful sisterhood bond that we are here today doing everything we can to end this disease. Whether your sister is family or a friend, we want to hear how you will celebrate the gift of sisterhood!",1,0
"Marcy Murphy was diagnosed with aggressive, triple-negative breast cancer when she was 4 months pregnant with her baby girl. After going through a lumpectomy and chemotherapy, she had complications during delivery and had an emergency C-section. ""We were told she would never walk and talk and if she did she would be considered a miracle. Four years later, Kaylee and I are both doing amazing. I'm considered in remission and Kaylee is a fully functioning three-year-old.""- Marcy. More of this incredible story: http://sgk.mn/32BcYL9:=:https://www.komen.org/share-your-story/marcy-murphy/",1,0
"For those who loved us first, let’s celebrate mom! Whether she’s your biggest cheerleader or living in your memory, tell us your favorite #momandme moment and add this filter to a photo of mom.",0,1
"A week and a half ago, with her kids by her side, Alisha finished her last chemo! We invite the Komen community to join us in celebrating her strength!",1,0
What an amazing milestone for Shawn! Let's celebrate the end of chemo with her <3,1,0
"For Jason Hyche, #4EveryMom has a special meaning. ""My mom, Kathy, recently passed away from metastatic breast cancer. My mom meant the world to me. The Susan G. Komen Race for the Cure day was always an emotional day for both Mom and myself. This day represented happiness because every day that is lived with metastatic breast cancer is a reason to celebrate and to be thankful."" Join the Mother's Day movement by using our photo filter, donating to Komen or buying a Mother's Day gift today: http://sgk.mn/23FUrqu",1,0
"LISTEN UP! We love this beautiful song that a son wrote to his mother, who is fighting breast cancer. Our thoughts are with and your mom, Taylor! Take a listen to this moving tribute that was shared with us <3 http://bit.ly/1PvRJud:=:https://www.youtube.com/watch?v=x9-qIIFyXT0",1,0
"Opry Goes Pink Today is the day! The Grand Ole Opry is pink in honor of families around the globe impacted by breast cancer. In just a bit, our friends Rita Wilson, Victoria Shaw and Erin Kinsey will perform the new breast cancer anthem, “PINK” live at the Opry. A portion of proceeds from this song support our mission to save lives. Enjoy the show!",0,1
"Amy Keaton was a 25 year-old ICU nurse when she found a small lump in her breast that was diagnosed as stage III breast cancer. ""I went home that day a different woman,"" she says. Do you remember the moment breast cancer first touched your life?",1,0
"""Being so young, still at the beginning of my career as a registered nurse, focusing on ways to better myself for my patients, the last thing on my mind was thinking I had cancer, but that quickly changed. On March 29th, 2019 I received the news that no 25-year-old wanted to hear, 'You have invasive breast cancer.""' Read more of Elizabeth Jones' story: http://sgk.mn/2EtCbey:=:https://www.komen.org/share-your-story/elizabeth-jones/",1,0
"""Nine months after my identical twin sister was diagnosed, I was diagnosed with breast cancer. When I found out Stacy had breast cancer, I thought that was the worst day of my life. But to hear that I had breast cancer as well was even worse. Now while she's still going through treatment I have to go through treatment. I was suppose to be there for her and now we have to get through this together both as patients,""- Tracy Edwards, breast cancer survivor. More of her story here: http://sgk.mn/339QqR7:=:https://ww5.komen.org/Breast-Cancer-Stories/Tracy-Edwards.html",1,0
It's never too late to celebrate beautiful Debbie's last day of chemo! Let's show her some love from the Komen support community. <3,1,0
Today is National Nurses Day and we'd like to thank all the nurses out there who work tirelessly to make a difference in the lives of their patients. <3 #breastcancer,0,1
"""In January of 2018, I went for my annual mammogram. I was called back for a 3D mammogram then sent for biopsy surgery of my left breast. When the results were in, I was called back to the office where I was asked to sit at a table where four specialists were sitting, and I was told the worst three words: 'You have cancer.'""- Tina Krout, breast cancer survivor http://sgk.mn/2DT3r9X:=:https://ww5.komen.org/Breast-Cancer-Stories/Tina-Krout.html What went through your mind when you heard those three words? Tell us in the comments.",1,0
"""I have triple negative breast cancer and I’m in my battle right now. I just maintain my very positive spirit because I have three wonderful angels to fight for. I'm very happy to count on a lot people to support me emotionally, physically and mentally in this process. I’m a warrior, a survivor, a woman, a mother. We fight together,"" says survivor Beatriz Moreno. Learn more about triple negative breast cancer: http://sgk.mn/37hhWA9:=:https://www.komen.org/breast-cancer/diagnosis/triple-negative/",1,0
Help save lives today! #breastcancer,0,1
Why do you want to end breast cancer? Fill in the blank below! #MotivationalMonday,0,1
This beautiful mother is pregnant and fighting breast cancer at the same time – she is the epitome of strength! http://bit.ly/1srNuvE:=:https://nbc16.com/news/local/pregnant-mother-battling-rare-form-of-breast-cancer-im-gonna-fight-this-beat-it,1,0
"""My mother continues to inspire my work as an advocate and survivor. Most of all, I am proud of her ability to redirect her fears after her diagnosis to help so many others."" – Madeline Long-Gill, Breast Cancer Survivor. Join the Mother's Day movement by using our photo filter, donating to Komen or buying a Mother's Day gift today: http://sgk.mn/23FUrqu #4EveryMom",1,0
"Catriona was originally diagnosed with stage 2 triple negative invasive ducal carcinoma in 2014. Nearly 3 years later, she was diagnosed with Stage 4, metastatic breast cancer at the age of 31. She is determined to keep fighting and uplift other women along the way! Read more about her story: http://bit.ly/2jap22s",1,0
So many of you have been through SO much! Fill in the blank and tell us why you’re strong.,0,1
"Breaking News: Komen Scholar Dr. Barzilay & colleagues use artificial intelligence to better predict the onset of breast cancer. Using mammogram images, their model can predict if someone is likely to develop breast cancer up to 5 years in advance. Read more about this medical advancement! https://bit.ly/2vGKuiX:=:https://venturebeat.com/2019/05/07/mit-csails-ai-can-predict-the-onset-of-breast-cancer-5-years-in-advance/",0,1
Wow - we have no words! So many emotions captured in these raw yet beautiful photos. You are an inspiration and you're not alone <3,1,0
"1 in 8 women will be diagnosed with breast cancer in her lifetime. That one can be the inspiration behind why you give, donate & fight. Tell us about your one. https://ww5.komen.org/yourone/",0,1
There are more than 3 million breast cancer survivors in the U.S. – each one of them inspires us! #MotivationalMonday,0,1
"“My new motto: No hair, don’t care.” <3 Co-creator of The Moms, Denise Albert shares her head shaving moments with us. Thank you Denise for being brave and open to sharing your journey. You are inspiring so many! http://bit.ly/1S3w9OU:=:https://www.goodhousekeeping.com/health/a37465/shaving-hair-chemo/",1,0
"Monica McMillan was diagnosed with breast cancer in December of 2017. This strong woman maintained a positive attitude through a lumpectomy, chemo and radiation. ""I am blessed to have such an amazing support system from family, friends, coworkers and my Church family, plus the amazing Duke team. Most importantly, God.""- Monica Monica, you are an inspiration ❤️",1,0
"Taylor, we are so saddened to hear about what your family is going through. We stand with you <3 Taylor Swift",1,0
"At 30 years old, Michelle was diagnosed with metastatic breast cancer in her lungs and brain. Her kids and her faith help her keep her head up every day. Read more about her story: http://sgk.mn/2xcmK9V What kept you strong during your fight against breast cancer?",1,0
"With so many breast cancer survivors out there, we want to spread the love. On National Cancer Survivors Day and throughout June, we can’t think of a more powerful way to do that than with a handwritten note. It’s easy – make a donation, send us your letter of strength, and we will handwrite it and deliver it to a survivor in need! http://bit.ly/lettersofstrength:=:https://hello.pledgeling.com/letters-of-strength #NCSD16 #LettersOfStrength",0,1
"Let's give a shoutout to this beautiful, three-time breast cancer survivor on her 80th birthday! It's for women like her that we continue our work every day to end breast cancer forever.",1,0
"“When you are first diagnosed with breast cancer, your brain starts thinking all kinds of thoughts. It’s like you enter into another dimension for a moment and nothing makes sense.” – Cindy Lawler, breast cancer survivor. What went through your mind when you were first diagnosed?",1,0
"""Although this diagnosis comes with significant challenges – pain, loss, changes to the quality of my life – it has also come with gratitude, an increase in strength, hardened determination, and renewed purpose,"" says Celeste Hall, who is living with metastatic breast cancer. Unite to support those who are fighting breast cancer on #GivingTuesday. Our partner Bank of America will quadruple your donation. Give today ❤️",1,0
"You're strong -- don't forget that, Gerri Willis! You're in our thoughts as you begin treatment. <3 http://fxn.ws/27RF1lS:=:https://www.foxnews.com/opinion/2016/05/18/gerri-willis-have-breast-cancer.html",1,0
"Tina was diagnosed with breast cancer in January of 2018, 7 months after her husband was diagnosed with stage IV brain cancer. She immediately thought of her son and how she had to be strong and fight to survive for him. ""This has been the hardest 27 months of my life, but I know I am a lot stronger person because of it. Life is so fragile, don’t forget to live, laugh, and love,""- Tina Krout, breast cancer survivor http://sgk.mn/2QFt6a7:=:https://www.komen.org/share-your-story/tina-krout/",1,0
"In good times and in bad, our girlfriends are always people we can turn to. So, in honor of #NationalGirlfriendsDay, join us in thanking all of the girls who are there for us when we need them the most! We want to hear about the girls that mean the most to you.",0,1
"Five years ago, the day after Mother's Day, Ali Laws was diagnosed with breast cancer at just 32 years old. Throughout her chemo treatments and overall journey, she experienced overwhelming love and support from her family and friends. Let's give a shoutout to all the mothers out there who are our rocks! Join the Mother's Day movement by using our photo filter and donating to Komen: http://sgk.mn/23FUrqu #4EveryMom",1,0
"""Well, here we are. August 26, 2014 and my cell phone rings, it's my doctor on the phone saying 'Bernice I am so sorry. You have breast cancer, Invasive Ductile Carcinoma stage 3 triple negative.' I lost all the feeling in my body. I couldn't move, I couldn't speak. Was this really happening?""-Bernice Capers, breast cancer survivor http://sgk.mn/2DVXy7F:=:https://ww5.komen.org/Breast-Cancer-Stories/Bernice-Capers.html Do you remember the moment you received your diagnosis?",1,0
Talk about a #motivationalmonday! Love this mom and son duo dancing to help fundraise for Komen! ❤,0,1
"""Well, here we are. August 26, 2014 and my cell phone rings, it's my doctor on the phone saying 'Bernice I am so sorry. You have breast cancer, Invasive Ductile Carcinoma stage 3 triple negative.' I lost all the feeling in my body. I couldn't move, I couldn't speak, was this really happening?"" -Bernice Capers, breast cancer survivor http://sgk.mn/2DVXy7F How did you react when you were diagnosed? Drop us a few lines below ❤️",1,0
"“When you are first diagnosed with breast cancer, your brain starts thinking all kinds of thoughts. It’s like you enter into another dimension for a moment and nothing makes sense.” – Cindy Lawler, breast cancer survivor. Share with us what went through your mind when you were first diagnosed.",1,0
"We are incredibly saddened by this news, and offer our heartfelt condolences and support to John and his entire family during this trying time. No one should lose a loved one to breast cancer, and together we will continue fighting until we find the cures ❤️ Today Show",1,0
"""I am 25 with breast cancer. I had hair down to my hips. I had the world at my hands. But all I knew was that I needed to be positive."" - Amy Keaton, breast cancer survivor. Read more about Amy's breast cancer journey and how she's remained optimistic through it all: http://sgk.mn/2tO96nH",1,0
Together we can can & we will. http://sgk.mn/2c6e8Xm #MoreThanPink,0,1
"In the U.S., metastatic breast cancer will kill more than 42,000 people this year alone. We are committed to changing this unacceptable reality. That’s why we’re launching the Susan G. Komen Metastatic Breast Cancer Fund, for which 100% of donations will benefit the metastatic breast cancer community. It’s time to end this disease. Join us http://bit.ly/2M7RE8P",0,1
"“Breast cancer doesn’t care who you are. It doesn’t care if you’re young or old, rich or poor. It doesn’t care about the color of your skin or even if you’re a male or female. And it certainly doesn’t care if you’re pregnant.” –Carla, 4-time San Diego Susan G. Komen 3-Day® walker. Read more about Carla’s incredible story about fighting breast cancer while pregnant: http://the3day.co/5m",1,0
"A few months ago, we shared a story about this inspiring 8-year-old breast cancer survivor. We are now happy to report that she is in remission! Let's wish her a lifetime of health, strength and happiness <3",1,0
"Rest in peace to our friend, the legendary Cokie Roberts. Her family and friends are in our hearts ❤️ https://abcn.ws/2kENN8u",1,0
"Kathy Bressler is no stranger to breast cancer, after losing both her mom and grandmother to this terrible disease -- and now fighting triple negative breast cancer herself. For her, it's not the end. It's the beginning of a new journey that she says will change her forever, but not for the worse. Show your support for Kathy and #4EveryMom by using our photo filter, donating to Komen or buying a Mother's Day gift today: http://sgk.mn/23FUrqu",1,0
"""I remember so clearly the day I was diagnosed with breast cancer. My family and I were on vacation… I thought it might be good news, but my stomach did backflips when I answered. She [doctor] cut to the chase…'I am so sorry, the lump is malignant.'” - Cheryl Kravitz, breast cancer survivor. http://sgk.mn/2AVBU5O:=:https://blog.komen.org/blog/you-get-what-you-need/ Do you remember the moment you were diagnosed? Tell us about it in the comments below.",1,0
"“At the young age of 26 I learned how precious life is, and for that I am so thankful for the lessons cancer has taught me. Has it been easy? Absolutely not. I still live with anxiety that my cancer could still return, and I am sure that’s something I will always live with. But have I lived? Oh my gosh, have I ever….Life is so precious y’all, remember that! Everybody dies, but not everybody lives. And I want to live. Cheers to 5 years and so many more to come.” Let’s celebrate Brittany on her 5 year Cancerversary! You are an inspiration. ❤",1,0
"On Monday, Jessica rang the bell to mark the completion of her breast cancer treatment! Let's celebrate this moment with her. <3",1,0
"Today we honor all of the women & men whose lives were cut far too short by metastatic breast cancer. Who are you remembering today? Drop their picture in the comments below, and make a donation in their name. Donations to Komen this week will fund metastatic breast cancer research.",0,1
"How has cancer changed you? ""Cancer was more than a speed bump; it was a complete road block that I am still trying to figure out how to navigate around three years later. Cancer has changed me significantly."" -Breast cancer survivor, Becky Steiner http://sgk.mn/1n4UVX9",0,1
"It is these 3 million survivors who move us daily. It is for them, and for those we've lost, that we are doing everything in our power to end #breastcancer forever. Be #MoreThanPink. Give a shout out to survivor in your life! http://sgk.mn/2c6e8Xm",0,1
"""Every day, I become a little more like my mom, and I couldn't be prouder! I definitely owe all my strength to my mom!"" - Brittany Beitel, Breast Cancer Survivor. How has your mom impacted your life? Show support for your mom and #4EveryMom by using our Mother's Day photo filter, donating to Komen or buying a Mother's Day gift today: http://sgk.mn/23FUrqu",1,0
From sisters to chemo buddies--it isn't every day that you hear of two sisters diagnosed with breast cancer and another sister diagnosed with angiosarcoma within weeks of each other. Read how these sisters faced adversity with humor & hope in this inspiring article: http://bit.ly/25kE03D:=:http://www.people.com/article/utah-sisters-diagnosed-cancer?xid=socialflow_facebook_peoplemag,1,0
"Where a woman lives should not determine whether she lives. On #WorldCancerDay, learn how we're empowering underserved women to be proactive and knowledgeable on how to communicate with health professionals about their breast health: http://sgk.mn/2BmdO1l:=:https://ww5.komen.org/Blog/World-Cancer-Day-2019/",0,1
"January 15, 3:00 pm: She rang the bell after her final chemotherapy appointment. Chemo may have taken her hair, but it didn't take her sense of hope for a cancer-free future. Tell us about a moment when you felt hopeful: ww5.komen.org/moments:=:https://www.komen.org/share-your-story/",1,0
"You're not alone. You never are and we're here for you. Learn more about healthy ways to cope with the stress caused by these fears, as well as support groups and other types of support http://sgk.mn/2J8MEz6",0,1
"Despite having no family history of breast cancer, Amanda was diagnosed with stage 3 breast cancer two years ago at the age of 26. Even after her long journey of treatments, she continued her job as a high school counselor and dedicated much of her time to the breast cancer cause and helping other survivors. It’s survivors, like Amanda, that inspire our partner GO SMiLE to be #MoreThanPink! Learn more about how they’re joining Komen and Amanda in the fight against breast cancer: http://ww5.komen.org/GO-SMILE/",1,0
"Desiny was diagnosed with stage 2 breast cancer when she was just 18 years old. """"This diagnosis put a pause on starting my life, going to college, having to quit work and traveling to constant appointments and many procedures.""- Desiny. Read more: http://sgk.mn/2L4gHvQ:=:https://www.komen.org/share-your-story/destiny-bleau/""",1,0
"""I was diagnosed with stage IV (metastatic) breast cancer in May 2018, just shy of my 27th birthday. I was fearful of how this would affect my future chance of a family. I have learned that I can’t live in the future, I can only live in the now.” – Starr Coleman. No one should experience a metastatic diagnosis at 27 years old. Thrivers, like Starr, are counting on us to fund research for new breast cancer treatments. Start a fundraiser to help: http://bit.ly/2TMUm4b:=:https://www.facebook.com/SusanGKomen/fundraisers/?create&source=nonprofit_short_url&source_data%5Breferral_source%5D",1,0
"“I was diagnosed with stage IV breast cancer in May 2018, just shy of my 27th birthday. I was fearful of how this would affect my future chance of a family. I have learned that I can’t live in the future, I can only live in the now.” – Starr Coleman, living with metastatic breast cancer. Read more of her powerful story: http://sgk.mn/2vmwCtr",1,0
"""Being so young, still at the beginning of my career as a registered nurse, focusing on ways to better myself for my patients, the last thing on my mind was thinking I had cancer, but that quickly changed. On March 29, 2019 I received the news that no 25-year-old wanted to hear."" - Elizabeth Jones. Read more of Elizbeth’s story: http://sgk.mn/2EtCbey:=:https://ww5.komen.org/Breast-Cancer-Stories/Elizabeth-Jones.html",1,0
"47-year-old mother and 17-year-old daughter were diagnosed with breast cancer just months apart. Read their story of hope and support, despite unbelievable odds. We’re cheering you on Bethany & Mybritt! http://dailym.ai/1KdAhOI:=:http://www.dailymail.co.uk/femail/article-3398646/Mother-daughter-17-diagnosed-breast-cancer-time.html #MotivationalMonday",1,0
"Amanda was six months pregnant when she was diagnosed with breast cancer. She couldn't accept the possibility that she might not be around to see her daughters grow up. No one should have to go through what Amanda experienced. Today only, donations will make 4X the impact against this disease. Your $25 donation becomes $100. Donate now to end breast cancer forever.",1,0
"""Today I am almost 3 years cancer free and I am so deeply grateful for every sunrise... I became a mentor /support person for newly diagnosed patients and am more aware today than ever before of how incredibly lucky I am.""- Jennifer Slade-Hammond. We love that Jennifer's cancer diagnosis pushed her to become a more charitable person! There are so many ways for breast cancer patients and survivors to get involved with Komen. Learn more: https://ww5.komen.org",1,0
Every day is a gift! Fill in the blank and let us know what you're celebrating today! #MotivationalMonday,0,1
Fill in the blank! 👇,0,1
"""Nine months after my identical twin sister was diagnosed, I was diagnosed with breast cancer. When I found out Stacy had breast cancer, I thought that was the worst day of my life. But to hear that I had breast cancer as well was even worse. Now while she's still going through treatment I have to go through treatment. I was suppose to be there for her and now we have to get through this together both as patients,"" - Tracy Edwards, breast cancer survivor. More of her story here: http://sgk.mn/339QqR7",1,0
"Breast cancer is a life-changing experience, and often alters people's mindsets and beliefs. Fill in the blank and tell us what you learned from your breast cancer journey! #MotivationalMonday",0,1
"Fill in the blank - tell us what gives you strength, whether you’re fighting breast cancer or helping someone on their journey.",0,1
"Our hearts break after losing Carrie Corey, a longtime Komen friend, to breast cancer. Tomorrow would have been Carrie’s 36th birthday. Carrie’s beautiful spirit and legacy will live on forever. May she rest in peace <3 http://bit.ly/1VgaRmj",1,0
"Komen community -- let's send some words of encouragement to Martha as she starts round 7, day 1 of chemo! <3",1,0
Congrats to Giuliana Rancic on hitting the milestone of 5 years cancer-free. Your positive outlook and desire to help others inspires so many! http://on.today.com/2ibGfTB:=:http://www.today.com/health/giuliana-rancic-celebrates-5-years-cancer-free-she-isn-t-t106140,1,0
"Unfortunately, Betsey Johnson knows first hand how important it is to stay on top of your breast health. She's celebrating 21 years of being breast cancer free! In celebration of her cancerversary, and of Galentine's Day, Betsey and Susan G. Komen encourage you to talk to your best girls about breast cancer. 1 in 8 women in the U.S. will be diagnosed with breast cancer in her lifetime. Let's do what we can to reduce our risk!",1,0
"A beautiful, talented young woman whose life was cut far too short. Stage IV breast cancer is relentless. To Desiree's family- we are so sorry for your loss, and here for you during this difficult time.",1,0
"And that's something to celebrate! Share this post with your Facebook friends, and tell us your breast cancer story here: http://sgk.mn/2QcFCLM:=:https://www.komen.org/submit-your-story/",0,1
We are working every day so that no one dies of breast cancer. Let’s celebrate the survivors who have fought or are currently fighting this disease. Update your profile picture with this frame if you are one of the more than 3.5 million breast cancer survivors in the U.S.!,0,1
"Today and every day, we honor all of the doctors who have made a difference in the lives of women and men affected by breast cancer. Thank you for your tireless efforts in helping us put an end to breast cancer forever. #NationalDoctorsDay",0,1
